metro,chas,dva_chasa,noch,ves,rost,vozrast,razmer,vpopu
Ленинский проспект,5000,10000,-,47,172,27,2,0
Алексеевская,7000,14000,35000,45,168,27,4,0
Одинцово,3000,6000,15000,62,170,20,3,0
Шаболовская,8000,16000,40000,50,177,23,3,1
Марксистская,6000,15000,-,67,175,34,2,5000
ВДНХ,5000,9000,20000,60,167,27,3,1000
Академическая,6000,12000,30000,60,175,22,5,1
Митино,5000,8000,15000,49,156,27,3,0
Академическая,5000,15000,-,54,168,22,1,1
Королёв,2500,5000,14000,59,169,37,3,0
Октябрьская,9000,15000,28000,56,168,21,2,1
Марьино,3500,7000,20000,50,173,30,3,0
Кутузовская,8000,16000,40000,48,163,29,3,1
Коломенская,2000,4000,10000,65,175,39,6,1
Динамо,5000,10000,25000,80,175,38,5,1
Парк Победы,15000,30000,100000,67,170,38,4,5000
Раменское,4000,7500,20000,63,160,35,5,0
Академическая,5000,10000,25000,50,168,18,2,1
Каховская,4000,8000,20000,51,161,23,3,0
Краснопресненская,2000,3000,-,55,160,53,4,1
Павелецкая,7000,15000,100000,50,168,24,3,5000
Варшавская,1500,3000,8000,65,170,45,2,0
Савеловская,2500,5000,12500,65,174,30,2,1
Беляево,2000,4000,12000,58,169,36,3,0
Варшавская,4000,8000,20000,60,170,48,7,2000
Текстильщики,4000,8000,30000,65,170,23,3,3000
Ленинский проспект,10000,20000,55000,48,167,18,3,1
Мытищи,3000,6000,-,56,173,31,3,0
Академическая,10000,20000,60000,70,165,30,3,1
Октябрьское поле,3000,6000,18000,46,159,24,2,2000
Жулебино,2000,4000,12000,50,170,25,2,0
Мытищи,2500,5000,-,50,178,31,1,0
Университет,7000,14000,50000,57,177,24,2,1
Бульвар Дмитрия Донского,3000,5000,8000,50,170,19,2,1
Выставочная,15000,30000,90000,53,175,35,2,1
Академическая,-,16000,40000,50,165,24,3,0
Алтуфьево,2500,5000,-,60,172,45,3,0
Октябрьское поле,3000,6000,18000,53,156,32,2,2000
Улица 1905 го1,5000,9000,30000,52,167,35,3,0
Проспект Мира,5000,9000,25000,65,164,39,3,0
Академическая,6000,12000,30000,54,167,19,3,0
Багратионовская,15000,25000,-,52,165,37,4,1
Автозаводская,5000,10000,25000,53,170,19,1,0
Кантемировская,10000,15000,30000,48,165,20,2,5000
Октябрьское поле,3000,6000,18000,55,165,25,2,2000
Тульская,1500,3000,8000,100,165,40,10,0
Маяковская,20000,40000,150000,49,170,28,2,1
Улица 1905 го1,8000,16000,50000,52,172,18,2,5000
Пролетарская,1500,3000,9000,69,156,24,3,0
Таганская,4000,8000,25000,60,158,33,5,1
Люблино,2000,4000,10000,52,168,36,4,0
Люберцы,3500,7000,17000,60,165,23,3,2500
Воробьевы горы,4000,8000,30000,58,173,34,2,1
Молодежная,2000,4000,12000,70,178,36,2,0
Смоленская,10000,20000,50000,50,170,26,3,1
Октябрьское поле,5000,10000,20000,60,185,34,1,0
Коломенская,2000,4000,10000,55,165,24,2,0
Профсоюзная,5000,10000,25000,47,170,22,1,0
Кутузовская,10000,20000,80000,49,162,30,3,5000
Киевская,16000,27000,-,n/a,174,30,7,6000
Академическая,5000,10000,25000,45,168,18,1,0
Мытищи,3000,5000,15000,50,165,29,2,0
Выставочная,6000,12000,-,48,167,22,1,1
Щукинская,10000,20000,60000,60,165,29,4,0
Люблино,2000,4000,10000,50,175,32,3,0
Беляево,3000,7000,20000,70,168,37,4,0
Академическая,8000,16000,40000,50,170,19,1,1
Проспект Мира,3500,7000,-,56,168,36,2,2000
Белорусская,12000,22000,60000,52,174,20,2,0
Планерная,2000,4000,15000,50,166,25,2,5000
Белорусская,8000,16000,48000,55,175,19,1,4000
ВДНХ,3500,7000,-,56,168,36,2,2000
ВДНХ,3000,5000,15000,65,174,42,2,2000
Коломенская,10000,20000,70000,n/a,175,38,5,0
Ленинский проспект,10000,20000,50000,51,170,19,2,1
Измайловская,7000,12000,25000,50,172,23,3,1
Выхино,4000,7000,20000,65,168,26,3,0
Белорусская,5000,10000,20000,53,173,24,1,0
Алексеевская,5000,10000,30000,46,169,27,2,0
Кутузовская,15000,25000,60000,59,178,35,2,1
Университет,2300,4600,-,60,170,36,2,0
Академическая,6000,8000,12000,47,167,19,2,3000
Варшавская,4000,8000,20000,60,170,48,7,2000
Белорусская,10000,21000,45000,55,171,21,2,0
Аэропорт,15000,30000,70000,47,170,24,3,0
Ясенево,2300,4600,-,60,167,33,3,0
Пионерская,2000,4000,10000,60,165,45,3,1
Академическая,3000,5000,12000,50,172,30,3,1000
Химки,5000,6000,15000,85,174,33,6,1
Первомайская,5000,10000,45000,50,172,35,1,1
Юго-Западная,2500,5000,15000,66,170,30,5,2000
Профсоюзная,5000,10000,25000,45,168,18,1,0
Юго-Западная,3000,6000,18000,65,167,35,6,1
Юго-Западная,3000,5000,10000,52,167,35,1,1
Краснопресненская,10000,20000,50000,50,170,32,1,1
Беговая,4000,8000,20000,n/a,168,28,2,1
Кутузовская,10000,20000,70000,55,165,32,3,5000
Беговая,3000,5000,12000,55,165,25,3,1000
Улица 1905 го1,7000,14000,-,47,155,20,2,0
Фрунзенская,10000,20000,-,57,175,30,2,1
Улица 1905 го1,10000,15000,35000,55,170,30,3,1
Кутузовская,-,3000,5000,48,160,24,2,0
Люберцы,1500,3000,9000,70,170,35,3,0
Парк Победы,10000,20000,60000,50,168,21,2,0
Строгино,5000,10000,-,60,167,18,5,0
