var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12
0,0,2,838,96300,0,4,107,N,1,A,893,1
0,2,1,837,59300,1,1,611,N,4,B,389,1
0,1,1,786,38500,0,1,212,N,2,C,788,0
0,0,1,481,75300,1,2,428,N,1,C,572,0
0,1,1,674,63200,1,2,91,N,1,B,909,1
0,0,1,470,5700,2,2,703,N,2,A,297,1
0,3,0,123,58700,0,2,874,N,12,A,126,1
0,1,2,121,54300,3,2,370,N,6,B,630,1
0,0,1,621,37500,2,1,780,,6,B,220,1
0,0,0,807,47700,1,5,678,N,2,A,322,1
0,1,1,99,16000,0,6,766,N,10,A,234,1
0,2,1,495,27800,1,4,192,N,17,B,808,1
0,2,0,819,88700,2,1,207,N,6,C,793,0
0,2,2,713,42400,0,2,935,N,1,B,65,1
0,0,0,264,93000,1,3,34,N,8,C,966,0
0,1,1,304,5600,3,1,738,N,7,A,262,1
0,0,0,863,9800,2,2,521,N,9,C,479,0
0,2,0,89,44000,3,1,32,N,8,A,968,1
0,0,2,487,66100,0,4,425,N,9,A,575,1
0,1,1,141,12100,0,0,279,N,3,C,721,0
1,0,2,788,51400,1,2,65,N,5,C,935,0
0,0,0,155,91500,2,1,119,N,13,A,881,1
0,0,0,230,59200,0,0,668,N,2,C,332,0
0,0,0,87,83100,0,3,87,N,3,C,913,0
0,2,2,235,97700,0,5,72,Y,2,C,928,0
0,3,1,329,1600,0,3,29,N,10,C,971,0
0,1,0,110,52800,1,2,221,Y,2,B,779,1
0,0,0,575,62100,0,3,628,N,1,A,372,1
0,0,1,648,30600,0,1,610,N,8,B,390,1
0,0,1,671,1100,1,0,626,N,11,B,374,1
0,0,1,22,60000,0,1,208,Y,2,B,792,1
0,2,0,995,13300,0,4,375,N,10,C,625,0
0,0,0,62,56800,1,3,727,Y,7,A,273,1
0,1,0,264,53800,0,1,888,N,3,A,112,1
0,1,1,151,74500,1,1,173,N,3,C,827,0
0,1,0,577,6500,1,8,816,Y,11,C,184,0
0,1,1,868,26700,2,3,202,N,2,B,798,1
0,3,0,322,17300,2,4,925,N,1,C,75,0
0,3,0,718,36500,0,2,485,N,1,C,515,0
0,6,3,764,97200,3,5,90,N,22,A,910,1
0,0,0,758,72800,1,4,208,Y,16,B,792,1
0,1,0,20,33300,2,1,630,N,8,B,370,1
0,0,0,738,31600,3,4,908,N,3,B,92,1
0,2,0,462,23500,2,2,933,Y,11,C,67,0
0,1,2,86,46600,2,2,539,N,1,A,461,1
0,1,2,593,21900,0,3,480,N,9,B,520,1
0,1,1,195,98000,2,1,174,N,27,A,826,1
0,2,2,635,23400,1,3,291,N,2,C,709,0
0,0,0,207,2500,1,3,308,Y,16,C,692,0
0,2,1,772,58800,2,3,300,N,12,B,700,1
0,2,1,117,59100,1,4,359,N,1,A,641,1
0,2,0,807,58100,1,3,197,N,5,A,803,1
0,0,0,826,49400,1,1,322,N,3,C,678,0
0,1,1,146,16700,1,5,866,N,6,B,134,1
0,1,2,80,18400,2,2,487,,2,A,513,1
0,2,3,604,7600,1,3,611,N,2,A,389,1
0,1,1,97,54900,1,5,689,N,6,A,311,1
0,1,0,131,67600,1,2,973,N,10,C,27,0
0,0,1,627,90000,3,2,813,N,2,C,187,0
0,0,0,363,55700,1,2,746,N,6,A,254,1
0,2,1,73,18500,3,2,394,N,3,A,606,1
0,1,0,475,31900,3,1,501,N,2,A,499,1
0,2,1,555,67000,2,5,991,N,1,C,9,0
0,0,0,806,31500,3,4,816,N,2,C,184,0
0,1,0,435,1300,1,3,465,N,1,A,535,1
